id,name,label,level,description,module,keywords
N001,数字逻辑电路,Course,0,"数字电路与逻辑设计基础课程，涵盖从基础门电路到复杂时序系统的全栈知识",根节点,数字电路;逻辑设计;布尔代数
N002,基础知识,Concept,1,"数制转换、编码规则与基本逻辑门电路的学习",模块 1,数制;编码;逻辑门
N003,数制与编码,Principle,2,"二进制、八进制、十六进制转换规则，BCD 码、格雷码等编码方式",模块 1,二进制;十六进制;BCD 码;格雷码
N004,逻辑门电路,Circuit,3,"与门、或门、非门、与非门、或非门、异或门的电路结构与真值表",模块 1,与门;或门;非门;与非门;真值表
N005,布尔代数定理,Principle,2,"逻辑运算的基本定律，包括交换律、结合律、分配律、德摩根定理等",模块 1,布尔代数;德摩根定理;逻辑运算
N006,标准形式,Application,4,"最小项之和与最大项之积的标准表达式形式及转换方法",模块 1,最小项;最大项;标准表达式
N007,逻辑函数化简,Concept,1,"将复杂逻辑表达式简化为最简形式的多种方法",模块 2,化简;优化;逻辑表达式
N008,卡诺图,Principle,2,"用图形化方法化简逻辑函数，适用于 2-6 变量函数",模块 2,卡诺图;图形化;化简工具
N009,逻辑变换,Principle,2,"利用布尔代数公式进行逻辑表达式的代数化简",模块 2,公式法;代数化简;逻辑变换
N010,组合逻辑电路,Concept,1,"输出仅取决于当前输入信号，无记忆功能的逻辑电路",模块 3,组合电路;无记忆;逻辑分析
N011,分析与设计,Principle,2,"组合电路的分析步骤：逻辑图→表达式→真值表；设计流程相反",模块 3,电路分析;设计流程;真值表
N012,常用集成电路,Circuit,3,"编码器、译码器、数据选择器、加法器等中规模集成电路芯片",模块 3,编码器;译码器;数据选择器;MSI
N013,竞争与冒险,Principle,2,"由于门电路传输延时导致的瞬间错误输出现象及消除方法",模块 3,竞争;冒险;延时;毛刺
N014,触发器,Concept,1,"具有记忆功能的基本逻辑单元，能存储 1 位二进制信息",模块 4,触发器;记忆单元;存储
N015,类型与方程,Principle,2,"RS、D、JK、T 触发器的特性方程、状态表和激励表",模块 4,RS 触发器;JK 触发器;D 触发器;特性方程
N016,功能转换,Application,4,"利用一种触发器实现另一种触发器功能的设计方法",模块 4,触发器转换;功能实现;模型转换
N017,时序逻辑电路,Concept,1,"输出取决于当前输入和电路原有状态，具有记忆功能",模块 5,时序电路;状态记忆;时钟信号
N018,三大方程,Principle,2,"输出方程、驱动方程、状态方程，描述时序电路行为的核心",模块 5,输出方程;驱动方程;状态方程
N019,同步与异步,Principle,2,"同步时序电路由统一时钟控制，异步电路无统一时钟",模块 5,同步;异步;时钟控制
N020,设计实例,Application,4,"序列检测器、状态机、控制电路等实际设计案例",模块 5,序列检测;状态机;设计案例
N021,计数器,Concept,1,"用于统计输入脉冲数量的时序逻辑电路",模块 6,计数器;脉冲统计;时序
N022,74LS290,Circuit,3,"二 - 五 - 十进制异步计数器芯片，可构成多种进制计数器",模块 6,74LS290;异步计数器;十进制
N023,任意进制设计,Application,4,"利用复位法、置位法设计任意 N 进制计数器的方法",模块 6,任意进制;复位法;置位法
N024,寄存器,Concept,1,"用于存储多位二进制数据的时序逻辑电路",模块 7,寄存器;数据存储;移位
N025,移位寄存器,Principle,2,"数据可向左或向右移动的寄存器，用于串行 - 并行转换",模块 7,移位;串行;并行转换
N026,555 定时器,Circuit,3,"通用定时器芯片，可构成多谐振荡器、单稳态触发器等",模块 8,555 定时器;振荡器;脉冲产生
N027,脉冲产生与整形,Application,4,"利用 555 定时器和门电路产生和整形脉冲信号",模块 8,脉冲;波形整形;信号产生
